Indicator;Economic activity;Year;Number of Employees
Total employment (Domestic concept);TOTAL TOTAL;2018;903880.0
Total employment (Domestic concept);A Agriculture, forestry and fishing;2018;65114.0
Total employment (Domestic concept);B_C_D_E Industry - total;2018;139415.0
Total employment (Domestic concept);B Mining and quarrying;2018;N/A
Total employment (Domestic concept);C Manufacturing;2018;118970.0
Total employment (Domestic concept);D Electricity, gas, steam and air conditioning supply;2018;N/A
Total employment (Domestic concept);E Water supply, sewerage, waste management and remediation activities;2018;N/A
Total employment (Domestic concept);F Construction;2018;69451.0
Total employment (Domestic concept);G_H_I_J Wholesale and retail trade, repair of motor vehicles and motorcycles, transportation and storage, accommodation and food service activities, information and communication;2018;267550.0
Total employment (Domestic concept);G_H_I Wholesale and retail trade, repair of motor vehicles and motorcycles, Transportation and storage, Accommodation and food service activities;2018;232765.0
Total employment (Domestic concept);G Wholesale and retail trade, repair of motor vehicles and motorcycles;2018;N/A
Total employment (Domestic concept);H Transportation and storage;2018;N/A
Total employment (Domestic concept);I Accommodation and food service activities;2018;N/A
Total employment (Domestic concept);J Information and communication;2018;34784.0
Total employment (Domestic concept);K_L_M_N Financial and insurance activities, real estate activitiesprofessional, scientific and technical activities, administrative and support service activities;2018;113768.0
Total employment (Domestic concept);K Financial and insurance activities;2018;15747.0
Total employment (Domestic concept);L Real estate activities;2018;22026.0
Total employment (Domestic concept);M_N Professional, scientific and technical activities, Administrative and support service activities;2018;75995.0
Total employment (Domestic concept);M Professional, scientific and technical activities;2018;N/A
Total employment (Domestic concept);N Administrative and support service activities;2018;N/A
Total employment (Domestic concept);O-T Public administration and defence, compulsory social security, education, human health and social work activities, arts, entertainment and recreation, other service activities, activities of households as employers;2018;248583.0
Total employment (Domestic concept);O_P_Q Public administration and defence, compulsory social security, Education, Human health and social work activities;2018;202021.0
Total employment (Domestic concept);O Public administration and defence, compulsory social security;2018;N/A
Total employment (Domestic concept);P Education;2018;N/A
Total employment (Domestic concept);Q Human health and social work activities;2018;N/A
Total employment (Domestic concept);R_S_T Arts, entertainment and recreation, Other service activities, Activities of households as employers;2018;46561.0
Total employment (Domestic concept);R Arts, entertainment and recreation;2018;N/A
Total employment (Domestic concept);S Other service activities;2018;N/A
Total employment (Domestic concept);T Activities of households as employers, undifferentiated goods- and services-producing activities of households for own use;2018;N/A
Employees (Domestic concept);TOTAL TOTAL;2018;798670.0
Employees (Domestic concept);A Agriculture, forestry and fishing;2018;36898.0
Employees (Domestic concept);B_C_D_E Industry - total;2018;131331.0
Employees (Domestic concept);B Mining and quarrying;2018;N/A
Employees (Domestic concept);C Manufacturing;2018;111230.0
Employees (Domestic concept);D Electricity, gas, steam and air conditioning supply;2018;N/A
Employees (Domestic concept);E Water supply, sewerage, waste management and remediation activities;2018;N/A
Employees (Domestic concept);F Construction;2018;60168.0
Employees (Domestic concept);G_H_I_J Wholesale and retail trade, repair of motor vehicles and motorcycles, transportation and storage, accommodation and food service activities, information and communication;2018;247148.0
Employees (Domestic concept);G_H_I Wholesale and retail trade, repair of motor vehicles and motorcycles, Transportation and storage, Accommodation and food service activities;2018;216106.0
Employees (Domestic concept);G Wholesale and retail trade, repair of motor vehicles and motorcycles;2018;N/A
Employees (Domestic concept);H Transportation and storage;2018;N/A
Employees (Domestic concept);I Accommodation and food service activities;2018;N/A
Employees (Domestic concept);J Information and communication;2018;31042.0
Employees (Domestic concept);K_L_M_N Financial and insurance activities, real estate activitiesprofessional, scientific and technical activities, administrative and support service activities;2018;101628.0
Employees (Domestic concept);K Financial and insurance activities;2018;15128.0
Employees (Domestic concept);L Real estate activities;2018;19622.0
Employees (Domestic concept);M_N Professional, scientific and technical activities, Administrative and support service activities;2018;66878.0
Employees (Domestic concept);M Professional, scientific and technical activities;2018;N/A
Employees (Domestic concept);N Administrative and support service activities;2018;N/A
Employees (Domestic concept);O-T Public administration and defence, compulsory social security, education, human health and social work activities, arts, entertainment and recreation, other service activities, activities of households as employers;2018;221497.0
Employees (Domestic concept);O_P_Q Public administration and defence, compulsory social security, Education, Human health and social work activities;2018;196184.0
Employees (Domestic concept);O Public administration and defence, compulsory social security;2018;N/A
Employees (Domestic concept);P Education;2018;N/A
Employees (Domestic concept);Q Human health and social work activities;2018;N/A
Employees (Domestic concept);R_S_T Arts, entertainment and recreation, Other service activities, Activities of households as employers;2018;25313.0
Employees (Domestic concept);R Arts, entertainment and recreation;2018;N/A
Employees (Domestic concept);S Other service activities;2018;N/A
Employees (Domestic concept);T Activities of households as employers, undifferentiated goods- and services-producing activities of households for own use;2018;N/A
Self-employed (Domestic concept);TOTAL TOTAL;2018;105210.0
Self-employed (Domestic concept);A Agriculture, forestry and fishing;2018;28216.0
Self-employed (Domestic concept);B_C_D_E Industry - total;2018;8084.0
Self-employed (Domestic concept);B Mining and quarrying;2018;N/A
Self-employed (Domestic concept);C Manufacturing;2018;7740.0
Self-employed (Domestic concept);D Electricity, gas, steam and air conditioning supply;2018;N/A
Self-employed (Domestic concept);E Water supply, sewerage, waste management and remediation activities;2018;N/A
Self-employed (Domestic concept);F Construction;2018;9283.0
Self-employed (Domestic concept);G_H_I_J Wholesale and retail trade, repair of motor vehicles and motorcycles, transportation and storage, accommodation and food service activities, information and communication;2018;20402.0
Self-employed (Domestic concept);G_H_I Wholesale and retail trade, repair of motor vehicles and motorcycles, Transportation and storage, Accommodation and food service activities;2018;16659.0
Self-employed (Domestic concept);G Wholesale and retail trade, repair of motor vehicles and motorcycles;2018;N/A
Self-employed (Domestic concept);H Transportation and storage;2018;N/A
Self-employed (Domestic concept);I Accommodation and food service activities;2018;N/A
Self-employed (Domestic concept);J Information and communication;2018;3742.0
Self-employed (Domestic concept);K_L_M_N Financial and insurance activities, real estate activitiesprofessional, scientific and technical activities, administrative and support service activities;2018;12140.0
Self-employed (Domestic concept);K Financial and insurance activities;2018;619.0
Self-employed (Domestic concept);L Real estate activities;2018;2404.0
Self-employed (Domestic concept);M_N Professional, scientific and technical activities, Administrative and support service activities;2018;9117.0
Self-employed (Domestic concept);M Professional, scientific and technical activities;2018;N/A
Self-employed (Domestic concept);N Administrative and support service activities;2018;N/A
Self-employed (Domestic concept);O-T Public administration and defence, compulsory social security, education, human health and social work activities, arts, entertainment and recreation, other service activities, activities of households as employers;2018;27086.0
Self-employed (Domestic concept);O_P_Q Public administration and defence, compulsory social security, Education, Human health and social work activities;2018;5838.0
Self-employed (Domestic concept);O Public administration and defence, compulsory social security;2018;N/A
Self-employed (Domestic concept);P Education;2018;N/A
Self-employed (Domestic concept);Q Human health and social work activities;2018;N/A
Self-employed (Domestic concept);R_S_T Arts, entertainment and recreation, Other service activities, Activities of households as employers;2018;21248.0
Self-employed (Domestic concept);R Arts, entertainment and recreation;2018;N/A
Self-employed (Domestic concept);S Other service activities;2018;N/A
Self-employed (Domestic concept);T Activities of households as employers, undifferentiated goods- and services-producing activities of households for own use;2018;N/A
Total employment (Domestic concept);TOTAL TOTAL;2019;922191.0
Total employment (Domestic concept);A Agriculture, forestry and fishing;2019;63566.0
Total employment (Domestic concept);B_C_D_E Industry - total;2019;136316.0
Total employment (Domestic concept);B Mining and quarrying;2019;N/A
Total employment (Domestic concept);C Manufacturing;2019;115369.0
Total employment (Domestic concept);D Electricity, gas, steam and air conditioning supply;2019;N/A
Total employment (Domestic concept);E Water supply, sewerage, waste management and remediation activities;2019;N/A
Total employment (Domestic concept);F Construction;2019;63969.0
Total employment (Domestic concept);G_H_I_J Wholesale and retail trade, repair of motor vehicles and motorcycles, transportation and storage, accommodation and food service activities, information and communication;2019;281593.0
Total employment (Domestic concept);G_H_I Wholesale and retail trade, repair of motor vehicles and motorcycles, Transportation and storage, Accommodation and food service activities;2019;248813.0
Total employment (Domestic concept);G Wholesale and retail trade, repair of motor vehicles and motorcycles;2019;N/A
Total employment (Domestic concept);H Transportation and storage;2019;N/A
Total employment (Domestic concept);I Accommodation and food service activities;2019;N/A
Total employment (Domestic concept);J Information and communication;2019;32780.0
Total employment (Domestic concept);K_L_M_N Financial and insurance activities, real estate activitiesprofessional, scientific and technical activities, administrative and support service activities;2019;112213.0
Total employment (Domestic concept);K Financial and insurance activities;2019;17415.0
Total employment (Domestic concept);L Real estate activities;2019;23987.0
Total employment (Domestic concept);M_N Professional, scientific and technical activities, Administrative and support service activities;2019;70811.0
Total employment (Domestic concept);M Professional, scientific and technical activities;2019;N/A
Total employment (Domestic concept);N Administrative and support service activities;2019;N/A
Total employment (Domestic concept);O-T Public administration and defence, compulsory social security, education, human health and social work activities, arts, entertainment and recreation, other service activities, activities of households as employers;2019;264533.0
Total employment (Domestic concept);O_P_Q Public administration and defence, compulsory social security, Education, Human health and social work activities;2019;209222.0
Total employment (Domestic concept);O Public administration and defence, compulsory social security;2019;N/A
Total employment (Domestic concept);P Education;2019;N/A
Total employment (Domestic concept);Q Human health and social work activities;2019;N/A
Total employment (Domestic concept);R_S_T Arts, entertainment and recreation, Other service activities, Activities of households as employers;2019;55311.0
Total employment (Domestic concept);R Arts, entertainment and recreation;2019;N/A
Total employment (Domestic concept);S Other service activities;2019;N/A
Total employment (Domestic concept);T Activities of households as employers, undifferentiated goods- and services-producing activities of households for own use;2019;N/A
Employees (Domestic concept);TOTAL TOTAL;2019;816974.0
Employees (Domestic concept);A Agriculture, forestry and fishing;2019;36000.0
Employees (Domestic concept);B_C_D_E Industry - total;2019;128713.0
Employees (Domestic concept);B Mining and quarrying;2019;N/A
Employees (Domestic concept);C Manufacturing;2019;108066.0
Employees (Domestic concept);D Electricity, gas, steam and air conditioning supply;2019;N/A
Employees (Domestic concept);E Water supply, sewerage, waste management and remediation activities;2019;N/A
Employees (Domestic concept);F Construction;2019;56646.0
Employees (Domestic concept);G_H_I_J Wholesale and retail trade, repair of motor vehicles and motorcycles, transportation and storage, accommodation and food service activities, information and communication;2019;260180.0
Employees (Domestic concept);G_H_I Wholesale and retail trade, repair of motor vehicles and motorcycles, Transportation and storage, Accommodation and food service activities;2019;232196.0
Employees (Domestic concept);G Wholesale and retail trade, repair of motor vehicles and motorcycles;2019;N/A
Employees (Domestic concept);H Transportation and storage;2019;N/A
Employees (Domestic concept);I Accommodation and food service activities;2019;N/A
Employees (Domestic concept);J Information and communication;2019;27984.0
Employees (Domestic concept);K_L_M_N Financial and insurance activities, real estate activitiesprofessional, scientific and technical activities, administrative and support service activities;2019;98850.0
Employees (Domestic concept);K Financial and insurance activities;2019;16703.0
Employees (Domestic concept);L Real estate activities;2019;21193.0
Employees (Domestic concept);M_N Professional, scientific and technical activities, Administrative and support service activities;2019;60954.0
Employees (Domestic concept);M Professional, scientific and technical activities;2019;N/A
Employees (Domestic concept);N Administrative and support service activities;2019;N/A
Employees (Domestic concept);O-T Public administration and defence, compulsory social security, education, human health and social work activities, arts, entertainment and recreation, other service activities, activities of households as employers;2019;236585.0
Employees (Domestic concept);O_P_Q Public administration and defence, compulsory social security, Education, Human health and social work activities;2019;204421.0
Employees (Domestic concept);O Public administration and defence, compulsory social security;2019;N/A
Employees (Domestic concept);P Education;2019;N/A
Employees (Domestic concept);Q Human health and social work activities;2019;N/A
Employees (Domestic concept);R_S_T Arts, entertainment and recreation, Other service activities, Activities of households as employers;2019;32164.0
Employees (Domestic concept);R Arts, entertainment and recreation;2019;N/A
Employees (Domestic concept);S Other service activities;2019;N/A
Employees (Domestic concept);T Activities of households as employers, undifferentiated goods- and services-producing activities of households for own use;2019;N/A
Self-employed (Domestic concept);TOTAL TOTAL;2019;105217.0
Self-employed (Domestic concept);A Agriculture, forestry and fishing;2019;27566.0
Self-employed (Domestic concept);B_C_D_E Industry - total;2019;7603.0
Self-employed (Domestic concept);B Mining and quarrying;2019;N/A
Self-employed (Domestic concept);C Manufacturing;2019;7303.0
Self-employed (Domestic concept);D Electricity, gas, steam and air conditioning supply;2019;N/A
Self-employed (Domestic concept);E Water supply, sewerage, waste management and remediation activities;2019;N/A
Self-employed (Domestic concept);F Construction;2019;7323.0
Self-employed (Domestic concept);G_H_I_J Wholesale and retail trade, repair of motor vehicles and motorcycles, transportation and storage, accommodation and food service activities, information and communication;2019;21413.0
Self-employed (Domestic concept);G_H_I Wholesale and retail trade, repair of motor vehicles and motorcycles, Transportation and storage, Accommodation and food service activities;2019;16617.0
Self-employed (Domestic concept);G Wholesale and retail trade, repair of motor vehicles and motorcycles;2019;N/A
Self-employed (Domestic concept);H Transportation and storage;2019;N/A
Self-employed (Domestic concept);I Accommodation and food service activities;2019;N/A
Self-employed (Domestic concept);J Information and communication;2019;4796.0
Self-employed (Domestic concept);K_L_M_N Financial and insurance activities, real estate activitiesprofessional, scientific and technical activities, administrative and support service activities;2019;13364.0
Self-employed (Domestic concept);K Financial and insurance activities;2019;712.0
Self-employed (Domestic concept);L Real estate activities;2019;2794.0
Self-employed (Domestic concept);M_N Professional, scientific and technical activities, Administrative and support service activities;2019;9858.0
Self-employed (Domestic concept);M Professional, scientific and technical activities;2019;N/A
Self-employed (Domestic concept);N Administrative and support service activities;2019;N/A
Self-employed (Domestic concept);O-T Public administration and defence, compulsory social security, education, human health and social work activities, arts, entertainment and recreation, other service activities, activities of households as employers;2019;27948.0
Self-employed (Domestic concept);O_P_Q Public administration and defence, compulsory social security, Education, Human health and social work activities;2019;4801.0
Self-employed (Domestic concept);O Public administration and defence, compulsory social security;2019;N/A
Self-employed (Domestic concept);P Education;2019;N/A
Self-employed (Domestic concept);Q Human health and social work activities;2019;N/A
Self-employed (Domestic concept);R_S_T Arts, entertainment and recreation, Other service activities, Activities of households as employers;2019;23147.0
Self-employed (Domestic concept);R Arts, entertainment and recreation;2019;N/A
Self-employed (Domestic concept);S Other service activities;2019;N/A
Self-employed (Domestic concept);T Activities of households as employers, undifferentiated goods- and services-producing activities of households for own use;2019;N/A
Total employment (Domestic concept);TOTAL TOTAL;2020;915930.0
Total employment (Domestic concept);A Agriculture, forestry and fishing;2020;70208.0
Total employment (Domestic concept);B_C_D_E Industry - total;2020;135121.0
Total employment (Domestic concept);B Mining and quarrying;2020;N/A
Total employment (Domestic concept);C Manufacturing;2020;114639.0
Total employment (Domestic concept);D Electricity, gas, steam and air conditioning supply;2020;N/A
Total employment (Domestic concept);E Water supply, sewerage, waste management and remediation activities;2020;N/A
Total employment (Domestic concept);F Construction;2020;63293.0
Total employment (Domestic concept);G_H_I_J Wholesale and retail trade, repair of motor vehicles and motorcycles, transportation and storage, accommodation and food service activities, information and communication;2020;272895.0
Total employment (Domestic concept);G_H_I Wholesale and retail trade, repair of motor vehicles and motorcycles, Transportation and storage, Accommodation and food service activities;2020;239377.0
Total employment (Domestic concept);G Wholesale and retail trade, repair of motor vehicles and motorcycles;2020;N/A
Total employment (Domestic concept);H Transportation and storage;2020;N/A
Total employment (Domestic concept);I Accommodation and food service activities;2020;N/A
Total employment (Domestic concept);J Information and communication;2020;33518.0
Total employment (Domestic concept);K_L_M_N Financial and insurance activities, real estate activitiesprofessional, scientific and technical activities, administrative and support service activities;2020;109718.0
Total employment (Domestic concept);K Financial and insurance activities;2020;16806.0
Total employment (Domestic concept);L Real estate activities;2020;23214.0
Total employment (Domestic concept);M_N Professional, scientific and technical activities, Administrative and support service activities;2020;69698.0
Total employment (Domestic concept);M Professional, scientific and technical activities;2020;N/A
Total employment (Domestic concept);N Administrative and support service activities;2020;N/A
Total employment (Domestic concept);O-T Public administration and defence, compulsory social security, education, human health and social work activities, arts, entertainment and recreation, other service activities, activities of households as employers;2020;264695.0
Total employment (Domestic concept);O_P_Q Public administration and defence, compulsory social security, Education, Human health and social work activities;2020;210717.0
Total employment (Domestic concept);O Public administration and defence, compulsory social security;2020;N/A
Total employment (Domestic concept);P Education;2020;N/A
Total employment (Domestic concept);Q Human health and social work activities;2020;N/A
Total employment (Domestic concept);R_S_T Arts, entertainment and recreation, Other service activities, Activities of households as employers;2020;53978.0
Total employment (Domestic concept);R Arts, entertainment and recreation;2020;N/A
Total employment (Domestic concept);S Other service activities;2020;N/A
Total employment (Domestic concept);T Activities of households as employers, undifferentiated goods- and services-producing activities of households for own use;2020;N/A
Employees (Domestic concept);TOTAL TOTAL;2020;799507.0
Employees (Domestic concept);A Agriculture, forestry and fishing;2020;40791.0
Employees (Domestic concept);B_C_D_E Industry - total;2020;127777.0
Employees (Domestic concept);B Mining and quarrying;2020;N/A
Employees (Domestic concept);C Manufacturing;2020;107373.0
Employees (Domestic concept);D Electricity, gas, steam and air conditioning supply;2020;N/A
Employees (Domestic concept);E Water supply, sewerage, waste management and remediation activities;2020;N/A
Employees (Domestic concept);F Construction;2020;54578.0
Employees (Domestic concept);G_H_I_J Wholesale and retail trade, repair of motor vehicles and motorcycles, transportation and storage, accommodation and food service activities, information and communication;2020;249130.0
Employees (Domestic concept);G_H_I Wholesale and retail trade, repair of motor vehicles and motorcycles, Transportation and storage, Accommodation and food service activities;2020;220758.0
Employees (Domestic concept);G Wholesale and retail trade, repair of motor vehicles and motorcycles;2020;N/A
Employees (Domestic concept);H Transportation and storage;2020;N/A
Employees (Domestic concept);I Accommodation and food service activities;2020;N/A
Employees (Domestic concept);J Information and communication;2020;28372.0
Employees (Domestic concept);K_L_M_N Financial and insurance activities, real estate activitiesprofessional, scientific and technical activities, administrative and support service activities;2020;90632.0
Employees (Domestic concept);K Financial and insurance activities;2020;16476.0
Employees (Domestic concept);L Real estate activities;2020;18864.0
Employees (Domestic concept);M_N Professional, scientific and technical activities, Administrative and support service activities;2020;55292.0
Employees (Domestic concept);M Professional, scientific and technical activities;2020;N/A
Employees (Domestic concept);N Administrative and support service activities;2020;N/A
Employees (Domestic concept);O-T Public administration and defence, compulsory social security, education, human health and social work activities, arts, entertainment and recreation, other service activities, activities of households as employers;2020;236599.0
Employees (Domestic concept);O_P_Q Public administration and defence, compulsory social security, Education, Human health and social work activities;2020;206199.0
Employees (Domestic concept);O Public administration and defence, compulsory social security;2020;N/A
Employees (Domestic concept);P Education;2020;N/A
Employees (Domestic concept);Q Human health and social work activities;2020;N/A
Employees (Domestic concept);R_S_T Arts, entertainment and recreation, Other service activities, Activities of households as employers;2020;30401.0
Employees (Domestic concept);R Arts, entertainment and recreation;2020;N/A
Employees (Domestic concept);S Other service activities;2020;N/A
Employees (Domestic concept);T Activities of households as employers, undifferentiated goods- and services-producing activities of households for own use;2020;N/A
Self-employed (Domestic concept);TOTAL TOTAL;2020;116423.0
Self-employed (Domestic concept);A Agriculture, forestry and fishing;2020;29417.0
Self-employed (Domestic concept);B_C_D_E Industry - total;2020;7345.0
Self-employed (Domestic concept);B Mining and quarrying;2020;N/A
Self-employed (Domestic concept);C Manufacturing;2020;7266.0
Self-employed (Domestic concept);D Electricity, gas, steam and air conditioning supply;2020;N/A
Self-employed (Domestic concept);E Water supply, sewerage, waste management and remediation activities;2020;N/A
Self-employed (Domestic concept);F Construction;2020;8715.0
Self-employed (Domestic concept);G_H_I_J Wholesale and retail trade, repair of motor vehicles and motorcycles, transportation and storage, accommodation and food service activities, information and communication;2020;23765.0
Self-employed (Domestic concept);G_H_I Wholesale and retail trade, repair of motor vehicles and motorcycles, Transportation and storage, Accommodation and food service activities;2020;18619.0
Self-employed (Domestic concept);G Wholesale and retail trade, repair of motor vehicles and motorcycles;2020;N/A
Self-employed (Domestic concept);H Transportation and storage;2020;N/A
Self-employed (Domestic concept);I Accommodation and food service activities;2020;N/A
Self-employed (Domestic concept);J Information and communication;2020;5146.0
Self-employed (Domestic concept);K_L_M_N Financial and insurance activities, real estate activitiesprofessional, scientific and technical activities, administrative and support service activities;2020;19086.0
Self-employed (Domestic concept);K Financial and insurance activities;2020;330.0
Self-employed (Domestic concept);L Real estate activities;2020;4350.0
Self-employed (Domestic concept);M_N Professional, scientific and technical activities, Administrative and support service activities;2020;14406.0
Self-employed (Domestic concept);M Professional, scientific and technical activities;2020;N/A
Self-employed (Domestic concept);N Administrative and support service activities;2020;N/A
Self-employed (Domestic concept);O-T Public administration and defence, compulsory social security, education, human health and social work activities, arts, entertainment and recreation, other service activities, activities of households as employers;2020;28096.0
Self-employed (Domestic concept);O_P_Q Public administration and defence, compulsory social security, Education, Human health and social work activities;2020;4519.0
Self-employed (Domestic concept);O Public administration and defence, compulsory social security;2020;N/A
Self-employed (Domestic concept);P Education;2020;N/A
Self-employed (Domestic concept);Q Human health and social work activities;2020;N/A
Self-employed (Domestic concept);R_S_T Arts, entertainment and recreation, Other service activities, Activities of households as employers;2020;23577.0
Self-employed (Domestic concept);R Arts, entertainment and recreation;2020;N/A
Self-employed (Domestic concept);S Other service activities;2020;N/A
Self-employed (Domestic concept);T Activities of households as employers, undifferentiated goods- and services-producing activities of households for own use;2020;N/A
Total employment (Domestic concept);TOTAL TOTAL;2021;904312.0
Total employment (Domestic concept);A Agriculture, forestry and fishing;2021;71298.0
Total employment (Domestic concept);B_C_D_E Industry - total;2021;135773.0
Total employment (Domestic concept);B Mining and quarrying;2021;N/A
Total employment (Domestic concept);C Manufacturing;2021;116157.0
Total employment (Domestic concept);D Electricity, gas, steam and air conditioning supply;2021;N/A
Total employment (Domestic concept);E Water supply, sewerage, waste management and remediation activities;2021;N/A
Total employment (Domestic concept);F Construction;2021;60909.0
Total employment (Domestic concept);G_H_I_J Wholesale and retail trade, repair of motor vehicles and motorcycles, transportation and storage, accommodation and food service activities, information and communication;2021;268428.0
Total employment (Domestic concept);G_H_I Wholesale and retail trade, repair of motor vehicles and motorcycles, Transportation and storage, Accommodation and food service activities;2021;233421.0
Total employment (Domestic concept);G Wholesale and retail trade, repair of motor vehicles and motorcycles;2021;N/A
Total employment (Domestic concept);H Transportation and storage;2021;N/A
Total employment (Domestic concept);I Accommodation and food service activities;2021;N/A
Total employment (Domestic concept);J Information and communication;2021;35007.0
Total employment (Domestic concept);K_L_M_N Financial and insurance activities, real estate activitiesprofessional, scientific and technical activities, administrative and support service activities;2021;106674.0
Total employment (Domestic concept);K Financial and insurance activities;2021;16290.0
Total employment (Domestic concept);L Real estate activities;2021;22234.0
Total employment (Domestic concept);M_N Professional, scientific and technical activities, Administrative and support service activities;2021;68150.0
Total employment (Domestic concept);M Professional, scientific and technical activities;2021;N/A
Total employment (Domestic concept);N Administrative and support service activities;2021;N/A
Total employment (Domestic concept);O-T Public administration and defence, compulsory social security, education, human health and social work activities, arts, entertainment and recreation, other service activities, activities of households as employers;2021;261230.0
Total employment (Domestic concept);O_P_Q Public administration and defence, compulsory social security, Education, Human health and social work activities;2021;211213.0
Total employment (Domestic concept);O Public administration and defence, compulsory social security;2021;N/A
Total employment (Domestic concept);P Education;2021;N/A
Total employment (Domestic concept);Q Human health and social work activities;2021;N/A
Total employment (Domestic concept);R_S_T Arts, entertainment and recreation, Other service activities, Activities of households as employers;2021;50017.0
Total employment (Domestic concept);R Arts, entertainment and recreation;2021;N/A
Total employment (Domestic concept);S Other service activities;2021;N/A
Total employment (Domestic concept);T Activities of households as employers, undifferentiated goods- and services-producing activities of households for own use;2021;N/A
Employees (Domestic concept);TOTAL TOTAL;2021;785538.0
Employees (Domestic concept);A Agriculture, forestry and fishing;2021;39371.0
Employees (Domestic concept);B_C_D_E Industry - total;2021;127351.0
Employees (Domestic concept);B Mining and quarrying;2021;N/A
Employees (Domestic concept);C Manufacturing;2021;108163.0
Employees (Domestic concept);D Electricity, gas, steam and air conditioning supply;2021;N/A
Employees (Domestic concept);E Water supply, sewerage, waste management and remediation activities;2021;N/A
Employees (Domestic concept);F Construction;2021;51383.0
Employees (Domestic concept);G_H_I_J Wholesale and retail trade, repair of motor vehicles and motorcycles, transportation and storage, accommodation and food service activities, information and communication;2021;244401.0
Employees (Domestic concept);G_H_I Wholesale and retail trade, repair of motor vehicles and motorcycles, Transportation and storage, Accommodation and food service activities;2021;214062.0
Employees (Domestic concept);G Wholesale and retail trade, repair of motor vehicles and motorcycles;2021;N/A
Employees (Domestic concept);H Transportation and storage;2021;N/A
Employees (Domestic concept);I Accommodation and food service activities;2021;N/A
Employees (Domestic concept);J Information and communication;2021;30339.0
Employees (Domestic concept);K_L_M_N Financial and insurance activities, real estate activitiesprofessional, scientific and technical activities, administrative and support service activities;2021;90144.0
Employees (Domestic concept);K Financial and insurance activities;2021;15921.0
Employees (Domestic concept);L Real estate activities;2021;19211.0
Employees (Domestic concept);M_N Professional, scientific and technical activities, Administrative and support service activities;2021;55012.0
Employees (Domestic concept);M Professional, scientific and technical activities;2021;N/A
Employees (Domestic concept);N Administrative and support service activities;2021;N/A
Employees (Domestic concept);O-T Public administration and defence, compulsory social security, education, human health and social work activities, arts, entertainment and recreation, other service activities, activities of households as employers;2021;232889.0
Employees (Domestic concept);O_P_Q Public administration and defence, compulsory social security, Education, Human health and social work activities;2021;205958.0
Employees (Domestic concept);O Public administration and defence, compulsory social security;2021;N/A
Employees (Domestic concept);P Education;2021;N/A
Employees (Domestic concept);Q Human health and social work activities;2021;N/A
Employees (Domestic concept);R_S_T Arts, entertainment and recreation, Other service activities, Activities of households as employers;2021;26931.0
Employees (Domestic concept);R Arts, entertainment and recreation;2021;N/A
Employees (Domestic concept);S Other service activities;2021;N/A
Employees (Domestic concept);T Activities of households as employers, undifferentiated goods- and services-producing activities of households for own use;2021;N/A
Self-employed (Domestic concept);TOTAL TOTAL;2021;118774.0
Self-employed (Domestic concept);A Agriculture, forestry and fishing;2021;31927.0
Self-employed (Domestic concept);B_C_D_E Industry - total;2021;8422.0
Self-employed (Domestic concept);B Mining and quarrying;2021;N/A
Self-employed (Domestic concept);C Manufacturing;2021;7994.0
Self-employed (Domestic concept);D Electricity, gas, steam and air conditioning supply;2021;N/A
Self-employed (Domestic concept);E Water supply, sewerage, waste management and remediation activities;2021;N/A
Self-employed (Domestic concept);F Construction;2021;9526.0
Self-employed (Domestic concept);G_H_I_J Wholesale and retail trade, repair of motor vehicles and motorcycles, transportation and storage, accommodation and food service activities, information and communication;2021;24027.0
Self-employed (Domestic concept);G_H_I Wholesale and retail trade, repair of motor vehicles and motorcycles, Transportation and storage, Accommodation and food service activities;2021;19359.0
Self-employed (Domestic concept);G Wholesale and retail trade, repair of motor vehicles and motorcycles;2021;N/A
Self-employed (Domestic concept);H Transportation and storage;2021;N/A
Self-employed (Domestic concept);I Accommodation and food service activities;2021;N/A
Self-employed (Domestic concept);J Information and communication;2021;4668.0
Self-employed (Domestic concept);K_L_M_N Financial and insurance activities, real estate activitiesprofessional, scientific and technical activities, administrative and support service activities;2021;16530.0
Self-employed (Domestic concept);K Financial and insurance activities;2021;369.0
Self-employed (Domestic concept);L Real estate activities;2021;3023.0
Self-employed (Domestic concept);M_N Professional, scientific and technical activities, Administrative and support service activities;2021;13138.0
Self-employed (Domestic concept);M Professional, scientific and technical activities;2021;N/A
Self-employed (Domestic concept);N Administrative and support service activities;2021;N/A
Self-employed (Domestic concept);O-T Public administration and defence, compulsory social security, education, human health and social work activities, arts, entertainment and recreation, other service activities, activities of households as employers;2021;28341.0
Self-employed (Domestic concept);O_P_Q Public administration and defence, compulsory social security, Education, Human health and social work activities;2021;5255.0
Self-employed (Domestic concept);O Public administration and defence, compulsory social security;2021;N/A
Self-employed (Domestic concept);P Education;2021;N/A
Self-employed (Domestic concept);Q Human health and social work activities;2021;N/A
Self-employed (Domestic concept);R_S_T Arts, entertainment and recreation, Other service activities, Activities of households as employers;2021;23086.0
Self-employed (Domestic concept);R Arts, entertainment and recreation;2021;N/A
Self-employed (Domestic concept);S Other service activities;2021;N/A
Self-employed (Domestic concept);T Activities of households as employers, undifferentiated goods- and services-producing activities of households for own use;2021;N/A
Total employment (Domestic concept);TOTAL TOTAL;2022;906068.0
Total employment (Domestic concept);A Agriculture, forestry and fishing;2022;69998.0
Total employment (Domestic concept);B_C_D_E Industry - total;2022;135670.0
Total employment (Domestic concept);B Mining and quarrying;2022;N/A
Total employment (Domestic concept);C Manufacturing;2022;116052.0
